Species,Repository,Number,Carapace-plastron_width,Length-height,ecology,Specimen_number,Unique_ID,Carapace_width_height,Hand_webbing,Source
Geochelone_elegans,MPM,3134,1.65,1.63,terrestrial,MPM_3134,Geochelone_elegans_MPM_3134,1.245614035,0,Lichtig_and_Lucas_2017_original_measurement
Glyptemys_insculpta,MPM,26351,1.64,2.76,terrestrial,MPM_26351,Glyptemys_insculpta_MPM_26351,2.379310345,1,Lichtig_and_Lucas_2017_original_measurement
Glyptemys_insculpta,MPM,1856,1.47,2.43,terrestrial,MPM_1856,Glyptemys_insculpta_MPM_1856,1.875,1,Lichtig_and_Lucas_2017_original_measurement
Glyptemys_insculpta,USNM,23328,1.37,2.65,terrestrial,USNM_23328,Glyptemys_insculpta_USNM_23328,1.6875,1,Lichtig_and_Lucas_2017_original_measurement
Glyptemys_insculpta,USNM,23327,1.38,2.61,terrestrial,USNM_23327,Glyptemys_insculpta_USNM_23327,1.859375,1,Lichtig_and_Lucas_2017_original_measurement
Glyptemys_insculpta,FLMNH,66435,1.54,2.58,terrestrial,FLMNH_66435,Glyptemys_insculpta_FLMNH_66435,1.991573034,1,Lichtig_and_Lucas_2017_original_measurement
Glyptemys_insculpta,FLMNH,62324,1.51,2.65,terrestrial,FLMNH_62324,Glyptemys_insculpta_FLMNH_62324,2.033333333,1,Lichtig_and_Lucas_2017_original_measurement
Glyptemys_muhlenbergii,FLMNH,152471,1.5,2.67,aquatic,FLMNH_152471,Glyptemys_muhlenbergii_FLMNH_152471,1.923728814,1,Lichtig_and_Lucas_2017_original_measurement
Glyptemys_muhlenbergii,FLMNH,154031,1.48,2.3,aquatic,FLMNH_154031,Glyptemys_muhlenbergii_FLMNH_154031,1.72,1,Lichtig_and_Lucas_2017_original_measurement
Glyptemys_muhlenbergii,UNM,30487,1.39,2.05,aquatic,UNM_30487,Glyptemys_muhlenbergii_UNM_30487,1.6,1,Lichtig_and_Lucas_2017_original_measurement
